Word 1,Word 2
debout,tout
partout,debout
encore,l’aurore
habitude,solitude
cœur,langueur
âge,langage
risquer,l’expliquer
licence,silence
l’amour,tour
honte,dompte
mouvements,sentiments
âme,flamme
soleils,pareils
visage,témoignage
amoureux,généreux
monarque,marque
présumer,d’aimer
belle,elle
cœurs,ardeurs
enfance,l’espérance
lumière,fière
jour,d’amour
invincible,sensible
rempli,accompli
puissance,vengeance
abîmé,aimé
guide,d’élide
charmants,sentiments
fête,conquête
aimer,charmer
charmer,flammes
flammes,âmes
lieux,yeux
revêtue,statue
loisir,désir
rivage,image
cour,l’amour
hautaine,haine
carquois,bois
fatalité,beauté
naître,maître
secrets,traits
douceurs,froideurs
victoire,gloire
s’indigner,régner
puissance,diligence
enflammés,renommés
prenez,obstinez
princesse,adresse
soupirs,désirs
politique,s’explique
amour,jour
peine,hautaine
soumis,ennemis
pyle,inutile
vertus,assidus
silence,violence
fameux,d’eux
cœur,froideur
presse,tendresse
puissamment,aisément
indifférence,patience
yeux,glorieux
autres,vôtres
appas,pas
caprice,propice
extrémités,rebutés
pressentir,m’applaudir
confidence,silence
ici,éclairci
l’adore,l’aurore
connaître,paraître
aujourd’hui,lui
bouffonneries,plaisanteries
persuader,hasarder
souhaite,parfaite
moi,effroi
redoutable,effroyable
pas,gras
bête,prête
extravagances,complaisances
chasseurs,peurs
chasse,passe
doux,nous
vilaines,humaines
courir,souffrir
tour,jour
récit,dit
pénible,horrible
enharnaché,découché
homme,somme
vue,touffue
cause,chose
chassé,hérissé
menace,grimace
presser,penser
armes,d’alarmes
quatre,l’abattre
consens,sens
prier,sanglier
place,audace
effort,sort
gloire,l’histoire
amis,remis
rencontré,gré
prérogatives,tentatives
délicat,d’état
glorifie,philosophie
lien,rien
tigresse,adresse
trame,flamme
belle,cruelle
généreux,dangereux
père,mère
d’aujourd’hui,lui
l’avantage,village
alarmes,charmes
clairement,sentiment
puissance,offense
bonheur,cœur
murmure,aventure
extrême,aime
parler,m’ébranler
charmes,armes
emplois,bois
l’espérance,défense
profité,vanité
quête,bête
gloire,croire
envie,vie
jours,secours
dire,inspire
esprit,l’aigrit
salaire,défaire
dédains,desseins
possible,sensible
faire,contraire
dédaigner,gagner
elle,nouvelle
mouvement,événement
blême,j’aime
admirable,capable
abois,philis
structure,nature
frais,jamais
tranquilles,villes
villes,embellis
embellis,d’élis
multitude,solitude
magnifique,publique
présence,magnificence
m’acquérir,courir
sorte,l’emporte
s’effaroucher,toucher
donne,personne
être,paraître
entretien,rien
jour,l’amour
suivre,vivre
pris,cloris
conquêtes,bêtes
vous,doux
mortelle,cruelle
fidèle,elle
pareille,oreille
émaillés,dépouillés
rigueur,cœur
promptement,amant
bien,moyen
seconde,monde
trois...,unissons-nous...
d’importance,excellence
rogne,tigne
peste,goutte
dispense,assurance
profondes,ondes
humides,néréides
divinités,beautés
cour,jour
fortune,neptune
assurance,l’inconstance
inébranlable,favorable
hélas,pas
effort,fort
bergère,sévère
affaires,mystères
cœur,l’honneur
tircis,soucis
soupire,martyre
former,enflammer
contrainte,crainte
amoureux,heureux
entière,sévère
vainqueurs,cœurs
yeux,oiseaux
soupirer,expirer
tendre,défendre
défendre,rendre
amitié,pitié
rigueur,ardeur
préférence,indifférence
sortez,retraites
amour,ardeur
aimons-nous,doux
querelles,belles
tendresse,cesse
soucie,d’envie
vieillissants,innocents
couronné,fortuné
voix,choix
cieux,précieux
subsiste,triste
glorieux,dieux
clartés,vantés
asseoir,voir
incomparable,inséparable
vœux,feux
doux,glougloux
glougloux,jaloux
remplie,mie
videz-vous,jaloux
garde,regarde
cœur,voleur
voleur,yeux
puissance,silence
chose,soppose
soppose,dispose
chose,s’oppose
s’oppose,oppose
éternelle,cruelle
cruelle,rebelle
rebelle,fidèle
fidèle,éternelle
bien,rien
guarirui,qui
pazzia,malinconia
malato,disperato
d’allegria,pazzia
ridete,volete
vicino,vino
tabac,pourceaugnac
su,monsù
male,servitiale
droit,endroit
auteurs,glossateurs
papinian,tribonian
imole,barthole
policés,sensés
hollandais,polonais
flamands,allemands
embarras,cas
réjouir,plaisir
s’assemble,semble
honneur,bonheur
inquiétude,solitude
secrètes,êtes
d’aimer,charmer
inhumaines,saines
m’empresse,tendresse
tigresse,aussi
aussi,ainsi
elle,cruelle
danara,comprara
accina,matina
caldara,parlara
parlara,comprara
soupire,rire
comprara,bastonara
bastonara,andara
adoro,ristoro
nò,morirò
muoro,adoro
dormite,pensate
pensate,ferite
ferite,fate
fate,fingete
martoro,adoro
desiri,sospiri
preggiate,m’ingannate
prova,trova
fede,crede
misero,piangere
piangere,libero
libero,ridere
voleur,peur
prison,raison
croire,boire
passer,recommencer
charmant,contentement
belle,polichinelle
philis,tircis
d’appas,hélas
assujettir,mourir
mourir,consentir
l’efface,glace
glace,place
passe-temps,printemps
jeunesse,tendresse
attendre,rendre
coûte,redoute
tendrement,amant
s’engage,volage
malheur,douleur
rage,volage
rigueurs,ardeurs
supplices,délices
doctores,professores
argentum,appetitum
confréri,admirari
inventio,professio
trovata,benedicta
solo,miraculo
tempore,vivere
vivere,genere
videmus,sumus
petiti,infatuti
remedios,deos
ordonnanciis,videtis
videtis,sapientiæ
sapientiæ,prudentiæ
travaillare,conservare
conservare,honore
honore,recevere
recevere,corpore
estis,trovabitis
medici,voici
interrogandum,examinandum
præses,doctores
doctores,illustres
bacheliero,honoro
quare,dormire
dormire,doctore
doctore,quare
assoupire,respondere
respondere,entrare
entrare,corpore
corpore,respondere
præsidis,facultatis
facultatis,actis
actis,assistantis
remedia,maladia
maladia,hidropisia
facere,donare
donare,seignare
seignare,purgare
purgare,respondere
facultati,præsenti
eticis,asmaticis
maladias,maravillas
præsidem,facultatem
facultatem,honorabilem
honorabilem,écoutantem
écoutantem,questionem
unus,manus
redoublamentis,capitis
côté,difficultaté
respirare,dire
dire,bacheliere
bacheliere,facere
maladia,opiniatria
garire,facere
statuta,præscripta
omnibus,consultationibus
aucunis,facultatis
boneto,docto
medicandi,purgandi
purgandi,seignandi
seignandi,perçandi
perçandi,taillandi
taillandi,coupandi
coupandi,occidendi
folla,ridicula
m’engageare,donare
donare,adjoutare
soleillo,cielo
l’oceano,printanno
moto,remercimento
remercimento,docto
debeo,meo
vivat,parlat
parlat,bibat
bibat,tuat
doctas,ordonnancias
chirurgorum,apotiquarum
anni,boni
verolas,pluresias
pluresias,dissenterias
martyre,dire
tue,combattue
vérité,qualité
flamme,blâme
heure,demeure
comtesse,tigresse
janneton,mouton
soupire,dire
loi,foi
cruelle,fidèle
l’amour,ardeur
cœur,d’horreur
enflammer,d’aimer
belle,éternelle
embellie,envie
convie,vie
vie,philosophie
versez,assez
sabir,respondir
sabir,tazir
intendir,tazir
giourdina,mattina
mattina,paladina
paladina,giourdina
giourdina,scarcina
scarcina,brigantina
brigantina,palestina
fabola,schiabbola
dara,bastonara
honta,affronta
monsieur,serviteur
crient,prient
charité,côté
côté,faites
d’asbarat,fat
gosieir,crieir
lifre,ifre
satisfait,laid
fille,gentille
ballet,sujet
famille,s’habille
sommet,met
met,lantriguet
lantriguet,net
honte,monte
capital,mal
mal,brutal
brutal,cheval
cheval,animal
principal,palais-royal
bal,mal
tramontane,dedans
pas,cas
cas,las
las,tracas
tracas,fatras
fatras,embarras
embarras,bras
vie,comédie
comédie,m’estropie
m’estropie,mie
logis,taudis
taudis,assis
assis,ébaubis
ébaubis,partis
salle,halle
halle,régale
amor,dolor
adolezco,padezco
padecer,exceder
rigor,amor
advertida,vida
muerte,fuerte
dulçura,locura
amar,amor
parecer,querer
alegria,fantasia
puoco,fuoco
piace,vivace
cantiamo,godiamo
gioventù,più
retour,séjour
séjour,l’amour
climène,chêne
amoureux,vœux
heureux,deux
deux,veux
veux,eux
goûtons-nous,doux
contester,l’emporter
miracle,d’obstacle
affaires,contraires
fatal,rival
désespérer,rassurer
fertile,difficile
misérables,incomparables
invective,captive
bas,pas
chimères,affaires
dit,s’aigrit
manière,visière
vous,l’époux
mariage,sage
choix,lois
puissance,obéissance
éclatera,régalera
rhétorique,politique
salaires,affaires
dit,l’esprit
l’encolure,nature
certain,humain
père,faire
chagrins,badins
vie,servir
servir,ravir
paraître,naître
déclarer,préparer
tête,conquête
inventions,prétentions
affaire,nécessaire
ruse,une
dire,pire
frivoles,pistoles
rêver,trouver
esclave,brave
ici,souci
attendre,vendre
vécu,d’écu
ressource,bourse
moment,sentiment
elle,sentinelle
repos,propos
vue,pourvue
étonne,personne
outragé,congé
injure,blessure
haut,faut
troubler,parler
talonne,personne
garçon,soupçon
lui-même,extrême
humilité,vanté
peut-être,connaître
l’avenir,l’entretenir
diablerie,magie
sers,fers
dévore,adore
trésor,encor
misérable,redoutable
bouche,touche
soupire,instruire
l’adversité,fierté
connaître,naître
doux,tous
magique,pique
dessein,vain
prendre,rendre
éclaire,faire
inquiéter,visiter
liberté,arrêté
croire,contradictoire
manigance,licence
fort,d’accord
flatterie,compagnie
l’entendre,surprendre
coupable,irréparable
mains,desseins
belle,criminelle
l’argent,agent
autre,nôtre
bien,sien
emploie,joie
l’accouchement,agréablement
dus,rendus
proie,voie
caresser,bercer
nérine,assassine
meure,heure
heure,cœurs
celées,dissimulées
vieux,yeux
mettable,désagréable
verras,pourras
conduise,sottise
froideur,ardeur
nouvelle,zèle
veux,vœux
elle,bagatelle
argent,présent
mode,l’accommode
tombée,dérobée
obligeant,argent
l’heure,meure
extrême,même
fait,français
français,dois
laisse,presse
danger...,...
captive,prive
deviné,raffiné
l’affaire,luminaire
peut-être,maître
faire,colère
fine,j’imagine
maître,l’être
tout,bout
l’avertir,partir
querelle,rebelle
criminel,paternel
poussée,pensée
l’appui,aujourd’hui
opprimée,confirmée
serviteur,précepteur
davantage,sage
souvent,vent
père,considère
cœur,d’honneur
répondre,confondre
maîtresse,hardiesse
prudence,assurance
rendre,surprendre
discours,cours
idolâtrée,contrée
trufaldin,matin
remettre,promettre
coûter,écarter
range,change
résolu,voulu
caprice,préjudice
funeste,reste
service,artifice
soupçonné,donné
d’attendre,léandre
m’obliger,dégager
père,contraire
prompte,monte
non,démon
ouvrage,m’outrage
fard,vieillard
célie,lélie
invention,passion
gendre,léandre
offices,caprices
hauteur,d’imposteur
commise,entreprise
rigoureusement,mouvement
cesse,confesse
injures,blessures
chose,propose
hardis,dis
épines,machines
manquerait,ferait
ingrate,flatte
toi,moi
merveille,pareille
poussé,renversé
joie,proie
rencontré,frustré
l’atteinte,crainte
crainte,retenue
trois,croix
incurable,favorable
livrer,sevrer
encore,pécore
loup-garou,cou
hôtellerie,furie
laisser,m’embarrasser
mascarille,fille
été,sûreté
tente,attente
excuserons,désirons
éclate,flatte
stratagème,extrême
contents,j’entends
apoplexie,vie
trépas,pas
artifice,édifice
campagne,l’accompagne
engage,personnage
mot,sot
voie,joie
excuse,ruse
d’approuver,arriver
parole,rôle
incartade,malade
bosse,fosse
transport,mort
hypocondre,semondre
soir,voir
assassine,mine
salutaire,père
sort,mort
affaires,guères
quartiers,papiers
l’instance,violence
monde,réponde
écueil,l’œil
forte,sorte
matin,chemin
homme,rome
humains,desseins
prières,meurtrières
prêcher,arracher
persévère,modère
humeur,serviteur
bonhomme,somme
contenter,désattrister
allégeance,assurance
d’ennui,lui
traverses,diverses
amaigrie,prie
amène,peine
véritablement,compliment
prières,guères
l’instant,content
bonté,santé
part,gaillard
folie,vie
voir,apercevoir
nouvelle,mortelle
vôtre,autre
grandir,laidir
figure,conjoncture
naïveté,crédulité
badinage,davantage
supposé,désabusé
légitime,fourbissime
remords,ressorts
supercherie,jolie
conte,honte
retirer,enterrer
l’enclouure,l’aventure
prendre,pendre
vaurien,bien
grise,sottise
rapport...,vois...
visite,quitte
quittera,nourrira
franchise,méprise
beaux,faux
façon,soupçon
pendre,reprendre
tout,oui
raccroche,poche
beau-père,manière
discret,regret
partout,bout
étonné,tourné
l’injustice,serait-ce
serait-ce,l’artifice
prêtait,doutait
égal,mal
arrive,captive
indifférence,d’imprudence
vraisemblable,véritable
louer,l’avouer
considérable,secourable
mascarille,lélie
d’effectuer,tuer
ensemble,tremble
peut,veut
récompense,impatience
projette,faite
desseins,vains
d’atteinte,crainte
rival,mal
m’assomme,d’homme
fait‐on,bâton
bagatelle,cruelle
pourrai,vengerai
confonde,monde
d’honneur,serviteur
gaules,épaules
venger,m’engager
sorte,m’emporte
transport,fort
fidèle,zèle
propice,service
contentements,châtiments
défaut,vaut
paraître,maître
volonté,apporté
d’hippolyte,l’irrite
lui,d’autrui
choisie,célie
moyens,miens
favorable,aimable
raison,maison
assurance,connaissance
souhaité,beauté
vue,rendue
conduiras,pas
nouvelle,cruelle
l’apprendre,attendre
façon,garçon
s’apprête,tête
d’or,imperator
connue,venue
voilà,là
ici,voici
due,vendue
retirer,murmurer
impatience,espérance
vains,mains
désire,lire
venir,tenir
d’avoir,espoir
d’espagne,accompagne
commencement,événement
sujet,l’objet
cries,fourberies
fourberies,adroits
l’imaginative,vive
imaginative,vive
moi-même,stratagème
cas,bas
qu’est-ce,patience
patience,diligence
trufaldin,destin
célie,ravie
moins,soins
elle,zèle
remise,prise
falot,sot
diable,capable
dextérité,concerté
mérite,petite
relevé,achevé
avoir,savoir
prose,propose
jours,rebours
débauche,gauche
panégyrique,pique
mystère,faire
exercer,forcer
comprendre,rendre
l’avoue,dénoue
sortir,divertir
violence,impatience
difficulté,subtilité
estime,sublime
d’occasions,d’inventions
chose,pause
enrager,l’obliger
claire,contraire
déchanter,arrêter
artifices,édifices
chance,assistance
poursuite,médite
ingénieux,glorieux
combattre,opiniâtre
dédit,récit
mystère,père
lieux,facétieux
trufaldin,badin
ruse,désabuse
aimable,adorable
l’acquérir,courir
destinée,l’hyménée
enfin,destin
amorces,forces
murmures-tu,vertu
s’altère,taire
charitablement,aveuglement
qu’inhumaine,peine
prude,certitude
métier,gibier
grimace,place
savoir,voir
sorte,m’importe
dessein,main
l’hameçon,bon
épine,m’assassine
visage,davantage
caresses,finesses
comprendre,entendre
profanée,abandonnée
bon,soupçon
fortunes,communes
commun,importun
elle,mortelle
lâcheté,divinité
répugnance,l’offense
part,pendard
médire,rire
non,bâton
pareilles,oreilles
dit,maudit
impostures,morsures
vertu,abattu
industrie,raillerie
soit,payerait
blâme,l’âme
confesse,d’adresse
sorte,emporte
sensé,offensé
présence,puissance
découvrir,mourir
nôtre,vôtre
conter,gâter
donne,bonne
commis,mis
violence,outrance
affaires,qu’imaginaires
non,bon
soupçonne,pardonne
désabusé,imposé
hypocrite,quitte
lecteur,serviteur
accompagne,campagne
d’innocents,médisants
allé,dissimulé
adresse,maîtresse
rapports,transports
foi,roi
attentes,tentes
chose,close
vert,expert
aventures,mesures
penser,traverser
facilement,premièrement
ensuite,conduite
pas,bras
frappée,d’épée
dégainer,donner
père,colère
nous,vous
feintes,atteintes
condition,réflexion
lumière,matière
fâché,recherché
demeure,d’heure
après,décrets
envie,poursuivie
fatigues,intrigues
lutin,enfin
être,maître
parti,averti
persuade,mascarade
voir,joie
fourré,enferré
d’heureux,amoureux
commune,fortune
prise,l’entreprise
éventé,côté
côté,poursuites
poursuites,suites
l’éclat,chat
frères,guères
travail,d’attirail
usage,partage
nés,donnés
mascarade,brigade
m’arrêter,conter
partie,bâtie
hasard,part
nouvelle,fidèle
touche,souche
aspect,porte‐respect
personne,bonne
mascarade,aubade
dieux,lieux
fenêtre,paraître
surprendre,apprendre
momon,mignon
outrage,visage
d’ici,merci
averti,travesti
masque,frasque
imaginative,prive
d’enfer,fer
allons,talons
sorte,porte
plaisir,loisir
célie,supplie
parler,régaler
inquiète,cassolette
gâté,côté
sorte,morte
revenir,tenir
puissance,reconnaissance
sottise,surprise
sire,dire
surprendrait,endroit
avance,naissance
peu,jeu
discours,jours
infâme,âme
longuement,paisiblement
vie,ravir
certaines,peines
m’ôtât,héritât
tendresse,maîtresse
vœux,deux
jour,retour
dite,construite
fois,trois
suffisance,circonstance
l’effort,fort
dure,aventure
sorti,ruberti
civile,ville
état,éclat
laissées,trépassées
ennui,lui
race,horace
instruit,conduit
horace,trace
seulement,fondement
d’arménie,turquie
trouvé,rêvé
ordinaire,corsaire
rendus,perdus
sorte,qu’importe
conter,racheter
nécessaire,père
étendues,superflues
fait,trait
chagrine,mine
l’esclavage,visage
image,passage
moment,grandement
inutile,ville
l’imaginative,craintive
trufaldin,citadin
honte,compte
approchant,couchant
donne,s’abandonne
yeux,précieux
voici,adouci
songes,mensonges
seigneur,bonheur
dispense,ressemblance
disais,parfois
fonde,monde
fois,crois
visage,image
habitude,rude
rin,turin
lumière,père
égale,salle
avoir,joie
joie,envoie
emprunté,clarté
agréable,haïssable
conduite,mérite
peut-être,repaître
repas,pas
arménie,cérémonie
fille,famille
pure,aventure
risée,exposée
capricieux,lieux
coureuse,gueuse
promise,méprise
abaissement,aveuglement
heures,meilleures
beauté,solennité
défense,jouissance
mouvements,emportements
agréables,durables
cours,jours
misères,pères
écouté,représenté
insigne,indigne
combattu,vertu
surpris,débris
grandes,réprimandes
hérétiques,authentiques
soleil,nonpareil
s’oublie,bouillie
retenue,entretenue
matière,entière
voir,seoir
elle,prunelle
servait,buvait
verre,terre
d’affecter,porter
délicate,patte
souris,gris
table,insupportable
pressants,innocents
querelle,belle
corps,efforts
boule,roule
actions,contorsions
choses,causes
fois,lois
d’horace,grâce
secret,indiscret
faire,guère
fort,sort
admirable,raisonnable
d’ardeur,grandeur
massif,préparatif
apôtre,autre
déguisé,supposé
d’excuse,ruse
main,vain
fillole,parole
affronte,conte
vérité,assisté
large,décharge
contrée,entrée
content,éclatant
traître,maître
dos,propos
jeannette,indiscrète
courroux,vous
haute,faute
déloyal,mal
folle,idole
célie,sortie
caquet,piquet
admirables,misérables
toi,l’emploi
artifice,complice
doucement,exactement
utile,bile
foi,moi
rudesse,promesse
repos,dos
trace,disgrâce
d’ici,souci
tiendrai,prendrai
égyptien,bien
hâve,esclave
zélé,parlé
espérance,balance
autorité,traité
art,départ
frivole,drôle
altérés,délibérés
paraguante,tente
profit,délit
cervelle,éternelle
balafré,coffré
lui-même,stratagème
hautement,honteusement
cautionne,personne
fuite,suite
m’oblige,prodige
persuadé,possédé
conduire,nuire
intelligence,répugnance
occasion,l’exécution
bienséance,licence
réglé,clé
d’aventures,figures
cœur,ardeur
âge,courage
moi,emploi
chose,métamorphose
changement,amant
indifférence,persévérance
séparé,auguré
peine,égyptienne
naufrage,otage
d’intérêt,plaît
tristesse,l’allégresse
n’ambitionnera,plaira
éclate,ingrate
émotion,occasion
violence,puissance
diffère,plaire
ombrage,fissage
tarchant,méchant
moment,promptement
pon,maisson
impatiente,attente
oser,disposer
demeure,l’heure
appartient,tient
j’augure,aventure
secret,discret
égyptienne,j’obtienne
doute,coûte
permettre,mettre
occasion,intention
maître,bissêtre
reconnu,bienvenu
maquerille,fille
maître,connaître
demander,appréhender
extrême,moi-même
feu,peu
ravie,suivie
déguisement,événement
l’épouvante,surprenante
beaucoup,coup
l’ouvrage,sage
parlé,égalé
redevable,condamnable
jette,dette
envie,célie
plus,superflus
détestable,incapable
malencontreux,heureux
imprudence,assistance
sottises,commises
appui,lui
persuader,s’accorder
nôtre,l’autre
secrets,intérêts
violence,évidence
devoir,d’espoir
obstacles,miracles
salutaire,faire
belles,infidèles
échapper,frapper
offertes,pertes
tous,vous
raillerie,prie
avancé,passé
aveuglement,aisément
souhaitable,capable
défendre,surprendre
surprenant,maintenant
défigurée,considérée
injurieux,furieux
flèches,sèches
sèches,d’arracher
bagace,place
cheveux,affreux
murmure,d’aventure
tempête,tête
humeur,rumeur
émue,vue
opportune,fortune
instant,tant
traits,attraits
sorcière,familière
vie,ravie
fâcheux,deux
connue,devenue
voix,fois
visage,langage
heureusement,vainement
reconnaître,être
inquiétudes,études
lieux,curieux
envie,patrie
plus,confus
peines,vaines
affaires,ordinaires
loisir,éclaircir
égyptienne,sienne
sœur,possesseur
reconnaître,maître
l’événement,consentement
enfantés,nouveautés
championnes,personnes
père,prospère
merveilleux,feux
dire,désire
soudain,dessein
pure,nature
régir,retenir
puissant,glissant
d’hyménée,destinée
pouvoir,espoir
arrive,imaginative
dois,fois
prie,célie
renvoie,joie
terminé,amené
prospères,pères
prie,bizarrerie
cacher,fâcher
premiers,papiers
l’être,paraître
plus,corrompus
s’excuser,scandaliser
scandaliser,caresses
caresses,tendresses
serments,embrassements
homme,nomme
séparant,d’indifférent
autant,l’instant
pendable,agréable
arrêt,plaît
joie,monnaie
empressements,serments
méthode,mode
contorsions,protestations
frivoles,paroles
combat,fat
caresse,tendresse
éclatant,autant
située,prostituée
chers,l’univers
complaisance,différence
rende,demande
pitié,d’amitié
rencontre,montre
sentiments,compliments
franchise,permise
honneur,cœur
bienséance,pense
émilie,jolie
ville,bile
profond,font
flatterie,fourberie
dessein,humain
sauvage,envisage
nourris,maris
fades,incartades
pas,d’appas
maladie,comédie
demande,grande
odieux,yeux
humaine,haine
exception,aversion
malfaisants,complaisants
vigoureuses,vertueuses
excès,procès
traître,être
radouci,d’ici
revêtu,vertu
maudit,contredit
bienvenue,s’insinue
disputer,l’emporter
blessures,mesures
soudains,humains
humains,peine
peine,humaine
rigueur,douceur
traitable,blâmable
extrémité,sobriété
âges,usages
perfection,obstination
sont,font
murmure,nature
offensé,intéressé
carnage,rage
voler,parler
d’impertinence,silence
dite,sollicite
l’équité,visité
douteuse,fâcheuse
plaiderie,d’effronterie
pervers,l’univers
grand-chose,cause
bon,façon
rectitude,exactitude
renfermez,aimez
semble,ensemble
davantage,s’engage
refuse,l’amuse
médisant,présent
mortelle,belle
doux,excusez-vous
veuve,treuve
donner,condamner
faire,plaire
blâmer,aimer
l’ennui,lui
dire,m’inspire
m’inspire,désirs
sincère,affaire
véritable,incroyable
mis,amis
qualité,rejeté
surprendre,prétendre
au-dessous,vous
préférable,considérable
complexions,repentirions
ouverture,figure
manières,lumières
l’expose,chose
défaut,faut
plainte,feinte
dame,flamme
pompeux,langoureux
style,facile
faire,l’affaire
morceau,beau
mises,sottises
éternelle,zèle
distraire,désespère
admirable,diable
morbleu...,peut-être...
traité,sincérité
délicate,flatte
empire,d’écrire
empressements,amusements
ouvrages,personnages
assomme,homme
qualités,côtés
redire,écrire
ressemblerais-je,disais-je
rimer,imprimer
livre,vivre
tentations,occupations
imprimeur,auteur
modèles,naturelles
vanité,vérité
peur,meilleur
admire,dire
vieux,mieux
murmure,pure
fleurie,récrie
bons,raisons
d’autres,vôtres
partage,davantage
approuviez,passiez
manière,matière
grâce,place
coeur,serviteur
s’assemble,ensemble
